Filename (CUAD Dataset),Sentence,GPT-3.5 Extracted Norms,Author comments
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,"The term of this Agreement shall be effective as of the date first stated above and shall continue for a term of three (3) years, unless terminated earlier in accordance with the provisions of this Agreement (the ""Term""); provided, however, that PrimeCall may elect to terminate this Agreement, upon thirty (30) days' written notice, at any time from and after the time that collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree's outstanding shares.","Norm 1:
1. Norm type: commitment
2. Subject: PrimeCall
3. Object: RSL Communications, Ltd. and/or its Affiliates
4. Antecedent: collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree's outstanding shares
5. Consequent: termination of the Agreement

Norm 2:
1. Norm type: authorization
2. Subject: PrimeCall
3. Object: RSL Communications, Ltd. and/or its Affiliates
4. Antecedent: collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree's outstanding shares
5. Consequent: termination of the Agreement

Norm 3:
1. Norm type: commitment
2. Subject: RSL Communications, Ltd. and/or its Affiliates
3. Object: PrimeCall
4. Antecedent: collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree's outstanding shares
5. Consequent: continuation of the Agreement for the specified term of three (3) years

Norm 4:
1. Norm type: power
2. Subject: PrimeCall
3. Object: RSL Communications, Ltd. and/or its Affiliates
4. Antecedent: termination of the Agreement by PrimeCall upon thirty (30) days' written notice
5. Consequent: termination of the Agreement","- Norm 1 is incorrect (and redundant, i.e., same as norm 2 but with incorrect norm type). This is due to the use of 'may', which makes it authorization rather than commitment."
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,"Nothwithstanding the foregoing, this Agreement may be assigned without the AS Parties' consent by MusclePharm in connection with a change of control transaction; provided that the acquirer of MusclePharm shall have financial resources substantially similar or greater than MusclePharm and shall specifically assume the obligations of MusclePharm under this Agreement in writing prior to the consummation of the change of control transaction.","Norm 1:
1. Norm type: Authorization
2. Subject: MusclePharm
3. Object: AS Parties
4. Antecedent: The acquirer of MusclePharm shall have financial resources substantially similar or greater than MusclePharm
5. Consequent: The acquirer of MusclePharm shall specifically assume the obligations of MusclePharm under this Agreement in writing prior to the consummation of the change of control transaction.

Norm 2:
1. Norm type: Commitment
2. Subject: MusclePharm
3. Object: AS Parties
4. Antecedent: None explicitly stated
5. Consequent: MusclePharm commits to ensuring that the acquirer of MusclePharm specifically assumes the obligations of MusclePharm under this Agreement in writing prior to the consummation of the change of control transaction.","- Incorrect consequent in Norm 1 (authorization is about the assignment of agreement).
- Conjunction (and) not correctly parsed in norm 1 (should be included in the antecedent)
- Norm 2 is unnecessary (provided norm 1 is correctly extracted), i.e., the sentence only has an authorization norm explicitly stated (though it is possible to break a norm into multiple)"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,"Notwithstanding the foregoing, Skype or Skype Holding may assign this Agreement to a third party without such consent in the event of a merger, reorganization or sale of all or substantially all of Skype's or Skype Holding's assets or voting securities, provided that written notice of such assignment is delivered to Online BVI and the Company and the assignee assumes all the responsibilities and obligations provided herein.","Norm 1:
1. Norm type: Authorization
2. Subject: Skype or Skype Holding
3. Object: Online BVI and the Company
4. Antecedent: Merger, reorganization, or sale of all or substantially all of Skype's or Skype Holding's assets or voting securities
5. Consequent: Written notice of assignment is delivered to Online BVI and the Company, and the assignee assumes all responsibilities and obligations provided in the Agreement.

Norm 2:
1. Norm type: Commitment
2. Subject: Skype or Skype Holding
3. Object: Online BVI and the Company
4. Antecedent: Merger, reorganization, or sale of all or substantially all of Skype's or Skype Holding's assets or voting securities
5. Consequent: Skype or Skype Holding commits to assigning the Agreement to a third party without consent, provided written notice is delivered to Online BVI and the Company, and the assignee assumes all responsibilities and obligations provided in the Agreement.","- Consequent incorrect in Norm 1
- Norm 2 type incorrect (should be authorization)"
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"Notwithstanding the foregoing, each Party may assign the rights and obligations under this Agreement in whole, without consent of the other Party, to a Third Party or Affiliate in connection with the transfer or sale of all or substantially all of its business or in the event of a merger, consolidation or change in control provided that the assignee assumes in writing and becomes directly obligated to the other Party to perform all of the obligations of assignor under this Agreement.","Norm 1:
1. Norm type: Authorization
2. Subject: Each Party
3. Object: Third Party or Affiliate
4. Antecedent: Assignment of rights and obligations under the Agreement in connection with the transfer or sale of business, merger, consolidation, or change in control
5. Consequent: The assignee assumes in writing and becomes directly obligated to perform all obligations of the assignor under the Agreement.

Norm 2:
1. Norm type: Commitment
2. Subject: Assignee
3. Object: Other Party
4. Antecedent: Assignment of rights and obligations under the Agreement in connection with the transfer or sale of business, merger, consolidation, or change in control
5. Consequent: The assignee becomes directly obligated to perform all obligations of the assignor under the Agreement.","- Incorrect object in Norm 1 (should be 'the other party(ies)')
- Norm 2 type incorrect (norm discussed in the clause is authorization)

- Impressive rephrasing (shortenning) of antecedent in norm 1
- Consequent refers to assignee and assignor, and not subject and object (or could just leave it out)
"
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,"For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.","Norm 1:
1. Norm type: Authorization
2. Subject: Naked
3. Object: Wade
4. Antecedent: The Agreement was not terminated by Wade as permitted herein
5. Consequent: Naked will have the right to continue to sell the Wade Products for which orders have already been placed at the end of the Term on the terms and conditions herein.

Norm 2:
1. Norm type: Commitment
2. Subject: Wade
3. Object: Naked
4. Antecedent: The Agreement was not terminated by Wade as permitted herein
5. Consequent: Wade will not terminate the Agreement, allowing Naked to continue selling the Wade Products for which orders have already been placed at the end of the Term on the terms and conditions herein.",- Norm 2 is inferred (somewhat redundant given norm 1)
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,"Richard Smith, MD will be given first consideration as a principal investigator for all new Product or Product- related clinical studies, in addition to other sites provided final site selection will be based on the best interest of the Project.","Norm 1:
1. Norm type: Authorization
2. Subject: Richard Smith, MD
3. Object: Other sites
4. Antecedent: Richard Smith, MD being given first consideration as a principal investigator for all new Product or Product-related clinical studies
5. Consequent: Final site selection will be based on the best interest of the Project

Norm 2:
1. Norm type: Commitment
2. Subject: Other sites
3. Object: Richard Smith, MD
4. Antecedent: Final site selection being based on the best interest of the Project
5. Consequent: Giving Richard Smith, MD first consideration as a principal investigator for all new Product or Product-related clinical studies","- Norm 1 is incorrect (incorrect object, incorrect antecedent, and incorrect  consequent) (the clause has no authorization norm)
- Incorrect object in Norm 1
- Incorrect subject in Norm 2
"
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,"This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause.","Norm 1:
1. Norm type: Commitment
2. Subject: Either party
3. Object: Either party
4. Antecedent: Written notice of termination
5. Consequent: Termination of the Agreement

Norm 2:
1. Norm type: Authorization
2. Subject: Either party
3. Object: Either party
4. Antecedent: Written notice of termination
5. Consequent: Termination of the Agreement

Norm 3:
1. Norm type: Power
2. Subject: Either party
3. Object: Either party
4. Antecedent: Termination of the Agreement
5. Consequent: End of the Agreement period","- Poor extraction from a simple sentence
- Crucial details overlooked (e.g., date and 30-day notice)
- Norm 1 and 2 elements are the same, except that they are different norm types
- Norm 3 is unnecessary "
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,"Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.","Norm 1:
1. Norm type: Commitment
2. Subject: i-Escrow
3. Object: Customer
4. Antecedent: Agreement not terminated for a material breach
5. Consequent: All provisions of the Agreement shall survive to complete pending Customer transactions. 

Norm 2:
1. Norm type: Authorization
2. Subject: i-Escrow
3. Object: Customer
4. Antecedent: Agreement not terminated for a material breach
5. Consequent: i-Escrow authorized to complete pending Customer transactions.",- object incorrect in both norms
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS.,"Norm 1:
1. Norm type: Prohibition
2. Subject: Developer
3. Object: Developer
4. Antecedent: Sale or transfer of all or substantially all of the assets of Developer
5. Consequent: Rights of Developer under the Agreement shall immediately cease and be terminated

Norm 2:
1. Norm type: Authorization
2. Subject: DSS
3. Object: Developer
4. Antecedent: Assignment of rights pursuant to sale or transfer
5. Consequent: Approval in writing by DSS","- Both Norms are incorrect
- Norm 1 has the same object and subject
- Norm 2 all elements incorrect"
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.,"Norm 1:
1. Norm type: Authorization
2. Subject: Either Party
3. Object: the other Party
4. Antecedent: providing 180 days prior written notice to the other Party prior to the expiration of the then-current term
5. Consequent: termination of the Agreement

Norm 2:
1. Norm type: Commitment
2. Subject: Either Party
3. Object: the other Party
4. Antecedent: termination in accordance with the terms of this Agreement
5. Consequent: termination of the Agreement",
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",VS shall not refer that opportunity to any other third party provider unless PPD declines to bid on such opportunity or does not offer the service in question.,"1. Norm types: 
- Prohibition
- Commitment

2. Subject: 
- VS (Vendor Services)

3. Object: 
- Any other third party provider

4. Antecedent: 
- PPD declines to bid on such opportunity or does not offer the service in question

5. Consequent: 
- VS shall not refer that opportunity to any other third party provider","- Case of hallucination (Full form for VS isn't provided, but ChatGPT infers)
- 2 norm types identified (for the same norm)"
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","Unless otherwise required by a particular Sponsor, PPD shall not refer that opportunity to any other third party provider unless VS declines to bid on such opportunity or does not offer the service in question.","1. Norm type: prohibition
2. Subject: PPD
3. Object: any other third party provider
4. Antecedent: VS declines to bid on such opportunity or does not offer the service in question
5. Consequent: PPD shall not refer that opportunity to any other third party provider",
