,Unnamed: 0,sent,gpt_extracted_norms
12,12,"Should there be a Change of Control of either Party resulting in the control of such Party by a Third Party which  markets or sells a Competing Product in any part of the Territory, then the rights under this Agreement may not be assigned without the  express consent of the other Party which consent shall not be unreasonably withheld. ""Change of Control"" shall mean (a) the sale, lease,  exchange, license or disposition of all or substantially all of the Party's assets in one transaction or series of related transactions or (b) a  merger or consolidation with an unaffiliated Third Party as a result of which the holders of the Party's issued and outstanding voting  securities immediately before such transaction own or control less than a majority of the voting securities of the continuing or surviving  entity immediately after such transaction.","1. Norm type: prohibition
2. Subject: Party undergoing a Change of Control
3. Object: Third Party marketing or selling a Competing Product in any part of the Territory
4. Antecedent: Change of Control of either Party resulting in the control of such Party by a Third Party which markets or sells a Competing Product in any part of the Territory
5. Consequent: Assignment of rights under the Agreement may not be done without the express consent of the other Party"
13,13,"""Distribution Term"" means the period commencing on the first Regulatory Approval of the Product in the Territory and continuing until [***], or if this Agreement is terminated earlier pursuant to Article 12, the effective date of such termination.<omitted>At any time following the expiration of the Distribution Term (as defined in Section 1.17), the Distributor may terminate this Agreement at will upon [***] prior written notice to Zogenix.","Norm 1:
1. Norm type: Authorization
2. Subject: Distributor
3. Object: Zogenix
4. Antecedent: Expiration of the Distribution Term
5. Consequent: Distributor may terminate the Agreement at will upon [***] prior written notice to Zogenix.

Norm 2:
1. Norm type: Commitment
2. Subject: Zogenix
3. Object: Distributor
4. Antecedent: Termination of the Agreement pursuant to Article 12
5. Consequent: Distributor may terminate the Agreement at will upon [***] prior written notice to Zogenix."
14,14,"Unless this Agreement is terminated by Zogenix under Section 12.2(c), Distributor shall use Commercially Reasonable Efforts to cooperate with Zogenix and/or its designee to effect a smooth and orderly transition in the registration and Commercialization of the Product in the Field in the Territory during the applicable notice period under Section 12.2 and following the effective date of termination.","Norm 1:
1. Norm type: Commitment
2. Subject: Distributor
3. Object: Zogenix
4. Antecedent: Agreement not terminated by Zogenix under Section 12.2(c)
5. Consequent: Distributor shall use Commercially Reasonable Efforts to cooperate with Zogenix and/or its designee to effect a smooth and orderly transition in the registration and Commercialization of the Product in the Field in the Territory during the applicable notice period under Section 12.2 and following the effective date of termination.

Norm 2:
1. Norm type: Authorization
2. Subject: Zogenix
3. Object: Distributor
4. Antecedent: Agreement not terminated by Zogenix under Section 12.2(c)
5. Consequent: Zogenix and/or its designee to effect a smooth and orderly transition in the registration and Commercialization of the Product in the Field in the Territory during the applicable notice period under Section 12.2 and following the effective date of termination."
15,15,"Any later proposal to complete that proposed Transfer will be deemed a new offer, giving us a new right of approval and right of first refusal effective as of the day we receive formal notice of the new (or continuing) proposal.","Norm 1:
1. Norm type: Authorization
2. Subject: The party making the proposal
3. Object: The party receiving the proposal
4. Antecedent: Any later proposal to complete the proposed Transfer
5. Consequent: Deemed a new offer

Norm 2:
1. Norm type: Power
2. Subject: The party receiving the proposal
3. Object: The party making the proposal
4. Antecedent: Formal notice of the new (or continuing) proposal
5. Consequent: Right of approval and right of first refusal"
16,16,"Subject to the terms and conditions of this Agreement commencing as of the Effective Date and for the duration of the Term and any Transition-out Period, Ehave hereby grants to CHT a non-transferable (except as permitted under Section 20(f)), right to: (i) sub-license the use of the Ehave Companion Solution within the Field of Use in the Territory to End Users and their respective Authorized Users, including in operation or by interfacing with other software, hardware, systems, networks and services, in accordance with and subject to the provisions of CHT's Subscription Agreement; and (ii) use the Ehave Companion Solution to support its licensed End Users.","1. Norm type: Authorization, Power
2. Subject: Ehave
3. Object: CHT
4. Antecedent: Subject to the terms and conditions of this Agreement commencing as of the Effective Date and for the duration of the Term and any Transition-out Period
5. Consequent: (i) sub-license the use of the Ehave Companion Solution within the Field of Use in the Territory to End Users and their respective Authorized Users, including in operation or by interfacing with other software, hardware, systems, networks and services, in accordance with and subject to the provisions of CHT's Subscription Agreement; and (ii) use the Ehave Companion Solution to support its licensed End Users."
17,17,"If ENERGOUS is acquired by a third party, ENERGOUS' acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to DIALOG.","Norm 1:
1. Norm type: Authorization
2. Subject: ENERGOUS' acquirer
3. Object: DIALOG
4. Antecedent: ENERGOUS is acquired by a third party
5. Consequent: ENERGOUS' acquirer will have the right to terminate the Agreement upon written notice to DIALOG.

Norm 2:
1. Norm type: Commitment
2. Subject: DIALOG
3. Object: ENERGOUS' acquirer
4. Antecedent: ENERGOUS is acquired by a third party
5. Consequent: DIALOG must allow ENERGOUS' acquirer to terminate the Agreement upon written notice."
18,18,"Sanofi may terminate this Agreement (A) in its entirety by providing [***] written notice of termination to RevMed or (B) on a country-by-country or Product-by-Product basis by providing [***] written notice of termination to RevMed; provided that if Sanofi desires to terminate this Agreement under this Section 12.2(a)(i)B only with respect to the U.S. (for all Products or one or more Products), Sanofi shall provide [***] written notice of termination to RevMed.","1. Norm type: 
- Authorization (for termination on a country-by-country or Product-by-Product basis)
- Commitment (for termination with respect to the U.S. for all Products or one or more Products)

2. Subject: Sanofi

3. Object: RevMed

4. Antecedent: Providing [***] written notice of termination

5. Consequent: Termination of the Agreement"
19,19,"Upon the Effective Date, Harpoon hereby grants to AbbVie the exclusive right, but not the obligation, to obtain the licenses set forth in Section 5.1.3 (the ""License Option"").","Norm 1:
1. Norm type: Authorization
2. Subject: Harpoon
3. Object: AbbVie
4. Antecedent: Effective Date
5. Consequent: AbbVie has the exclusive right to obtain the licenses set forth in Section 5.1.3

Norm 2:
1. Norm type: Power
2. Subject: Harpoon
3. Object: AbbVie
4. Antecedent: Effective Date
5. Consequent: AbbVie has the exclusive right to obtain the licenses set forth in Section 5.1.3 and can cause a change in existing norms."
20,20,"Upon the expiration of the Term or termination of this Supply Agreement, in its entirety or with respect to one or more Products, this Supply Agreement shall, except as otherwise provided in this Section 10.3 or Section 10.5, be of no further force or effect; provided, however, that (a) in the event this Supply Agreement is terminated by SutroVax pursuant to Section 10.2.3 and there are outstanding Work Orders or other purchase orders accepted by Sutro that would not be fulfilled as a result of such termination, SutroVax shall reimburse Sutro for all supplies and materials purchased by Sutro and time incurred by Sutro personnel (to the extent incurred solely for manufacture of Product for SutroVax) for the manufacture, or preparation for the manufacture, of Products for any Work Orders placed by SutroVax and any other purchase orders accepted by Sutro prior to such expiration or termination, in each case to the extent Sutro cannot otherwise reasonably mitigate such the costs and expenses of such supplies, materials and time (e.g., by use of resulting supplies, materials and work-in-progress Product for other purposes); provided that to the extent SutroVax pays for any supplies or materials, upon SutroVax's request Sutro shall promptly transfer and deliver such supplies and materials to SutroVax; and (b) if this Supply Agreement is terminated with respect to one or more Products, but not all Products, then this Supply Agreement shall continue in full force and effect with respect to the applicable Product(s) for which it is not terminated.","1. Norm type: commitment
2. Subject: SutroVax
3. Object: Sutro
4. Antecedent: Termination of the Supply Agreement by SutroVax pursuant to Section 10.2.3
5. Consequent: Reimbursement of supplies, materials, and time incurred by Sutro personnel for the manufacture of Products for SutroVax if Work Orders or purchase orders are not fulfilled.

2. Norm type: authorization
3. Subject: Sutro
4. Antecedent: Termination of the Supply Agreement with respect to one or more Products
5. Consequent: Continuation of the Supply Agreement in full force and effect with respect to the applicable Product(s) for which it is not terminated."
21,21,"Notwithstanding anything contained herein to the contrary, in the event that EKR is entitled to exercise its right to terminate this Agreement pursuant to Section 16.1(a), in addition to the right to terminate as provided therein and any other remedies EKR  may have hereunder, PPI shall assist EKR in the transfer of the manufacture of the Products, including the Specifications from PPI to EKR  or EKR's designee.","1. Norm type: commitment
2. Subject: PPI
3. Object: EKR
4. Antecedent: EKR is entitled to exercise its right to terminate this Agreement pursuant to Section 16.1(a)
5. Consequent: PPI shall assist EKR in the transfer of the manufacture of the Products, including the Specifications from PPI to EKR or EKR's designee."
22,22,"This Agreement may be terminated at any time prior to the Effective Time by Parent, in its sole and absolute discretion, without the approval or consent of<omitted>any other Person, including SpinCo.","Norm 1:
1. Norm type: Power
2. Subject: Parent
3. Object: <omitted>any other Person, including SpinCo
4. Antecedent: Agreement may be terminated at any time prior to the Effective Time
5. Consequent: Termination of the Agreement

Norm 2:
1. Norm type: Authorization
2. Subject: Parent
3. Object: SpinCo
4. Antecedent: Agreement may be terminated at any time prior to the Effective Time
5. Consequent: Termination of the Agreement"
23,23,"If Franchisee desires to assign his rights under the Franchise to a new franchisee,  Franchisee  (Assignor of the  Franchise),  agrees to pay to Pretzel Time a transfer  fee equal to the  greater of SIX  THOUSAND  TWO  HUNDRED  FIFTY DOLLARS  ($6,250.00) or the then current  transfer fee being paid by franchisees upon the assignment, gift, bequeath or transfer of ownership of the Franchise to cover administrative costs and expenses.","Norm 1:
1. Norm type: Commitment
2. Subject: Franchisee
3. Object: Pretzel Time
4. Antecedent: Franchisee desires to assign his rights under the Franchise to a new franchisee
5. Consequent: Franchisee agrees to pay a transfer fee equal to the greater of $6,250.00 or the then current transfer fee being paid by franchisees upon the assignment, gift, bequeath, or transfer of ownership of the Franchise to cover administrative costs and expenses.

Norm 2:
1. Norm type: Authorization
2. Subject: Pretzel Time
3. Object: Franchisee
4. Antecedent: Franchisee desires to assign his rights under the Franchise to a new franchisee
5. Consequent: Franchisee is authorized to assign his rights under the Franchise to a new franchisee."
24,24,"In the event of expiration or termination of this Agreement, an Order or of Maintenance Services under this Agreement, Supplier agrees that upon the request of Bank of America, Supplier will, at no additional cost to Bank of America and through the period of paid up Maintenance Services, continue uninterrupted operations, conclude and cooperate with Bank of America in the transition of the business at Bank of America's direction and in a manner that causes no material disruption to Bank of America business and operations.","Norm 1:
1. Norm type: Commitment
2. Subject: Supplier
3. Object: Bank of America
4. Antecedent: Expiration or termination of the Agreement, an Order, or Maintenance Services
5. Consequent: Supplier will continue uninterrupted operations, conclude, and cooperate with Bank of America in the transition of the business at Bank of America's direction and in a manner that causes no material disruption to Bank of America business and operations.

Norm 2:
1. Norm type: Authorization
2. Subject: Bank of America
3. Object: Supplier
4. Antecedent: Expiration or termination of the Agreement, an Order, or Maintenance Services
5. Consequent: Bank of America can request Supplier to continue uninterrupted operations, conclude, and cooperate in the transition of the business at Bank of America's direction and in a manner that causes no material disruption to Bank of America business and operations."
25,25,Any material change in the terms of the offer from a third-party after we have elected not to purchase the seller's interest will constitute a new offer subject to the same right of first refusal as the third party's initial offer.,"Norm 1:
1. Norm type: Prohibition
2. Subject: Third-party
3. Object: Seller
4. Antecedent: Any material change in the terms of the offer from a third-party after we have elected not to purchase the seller's interest
5. Consequent: Constitutes a new offer subject to the same right of first refusal as the third party's initial offer

Norm 2:
1. Norm type: Commitment
2. Subject: Seller
3. Object: Third-party
4. Antecedent: Any material change in the terms of the offer from a third-party after we have elected not to purchase the seller's interest
5. Consequent: Constitutes a new offer subject to the same right of first refusal as the third party's initial offer"
26,26,"Following the License Option Exercise Closing Date, if [***] owned or controlled by a Third Party in a particular country or jurisdiction is necessary to Exploit a Licensed Compound or Licensed Product, AbbVie shall have the first right, but not the obligation, to negotiate and enter into an agreement with a Third Party in order to obtain a license or right under such Patent or intellectual property right.","Norm 1:
1. Norm type: Authorization
2. Subject: AbbVie
3. Object: Third Party
4. Antecedent: [***] owned or controlled by a Third Party in a particular country or jurisdiction is necessary to Exploit a Licensed Compound or Licensed Product
5. Consequent: AbbVie shall have the first right, but not the obligation, to negotiate and enter into an agreement with a Third Party in order to obtain a license or right under such Patent or intellectual property right.

Norm 2:
1. Norm type: Power
2. Subject: AbbVie
3. Object: Third Party
4. Antecedent: [***] owned or controlled by a Third Party in a particular country or jurisdiction is necessary to Exploit a Licensed Compound or Licensed Product
5. Consequent: AbbVie can negotiate and enter into an agreement with a Third Party in order to obtain a license or right under such Patent or intellectual property right."
27,27,"Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events:<omitted>(d) By either party hereto upon sixty (60) days prior written notice to the other party hereto;","Norm 1:
1. Norm type: commitment
2. Subject: either party
3. Object: the other party
4. Antecedent: sixty (60) days prior written notice
5. Consequent: termination of the Agreement"
28,28,"On expiration or the effective date of termination of this Agreement, if earlier:<omitted>e) Supplier shall promptly cooperate with Customer to transfer and transition supply of the Products to a Third Party supplier. Upon Customer's request, Supplier shall cooperate with Customer in the transfer of technology and know-how necessary to Manufacture Products to such Third Party supplier, including providing Customer and the Third Party supplier with reasonable access to the Facilities and consulting services related to Manufacturing of the Product. Supplier shall conduct such activities at Customer's expense paid in advance.","1. Norm type: commitment
2. Subject: Supplier
3. Object: Customer
4. Antecedent: On expiration or the effective date of termination of this Agreement
5. Consequent: Supplier shall promptly cooperate with Customer to transfer and transition supply of the Products to a Third Party supplier. Upon Customer's request, Supplier shall cooperate with Customer in the transfer of technology and know-how necessary to Manufacture Products to such Third Party supplier, including providing Customer and the Third Party supplier with reasonable access to the Facilities and consulting services related to Manufacturing of the Product. Supplier shall conduct such activities at Customer's expense paid in advance."
29,29,"Unless this Agreement is terminated by Zogenix under Section 12.2(c), at the written request of Zogenix, Distributor shall assign to Zogenix any Product-specific Third Party agreements, to the furthest extent possible, provided that such assignment is permitted under the Product-specific agreement or is otherwise agreed by the applicable Third Party.","Norm 1:
1. Norm type: Commitment
2. Subject: Distributor
3. Object: Zogenix
4. Antecedent: Agreement not terminated by Zogenix under Section 12.2(c)
5. Consequent: Distributor shall assign Product-specific Third Party agreements to Zogenix

Norm 2:
1. Norm type: Authorization
2. Subject: Zogenix
3. Object: Distributor
4. Antecedent: Agreement not terminated by Zogenix under Section 12.2(c)
5. Consequent: Distributor shall assign Product-specific Third Party agreements to Zogenix

Norm 3:
1. Norm type: Authorization
2. Subject: Distributor
3. Object: Third Party
4. Antecedent: Agreement not terminated by Zogenix under Section 12.2(c)
5. Consequent: Distributor shall assign Product-specific Third Party agreements to Zogenix, if permitted under the Product-specific agreement or agreed by the applicable Third Party."
30,30,A Change of Control shall be deemed an assignment for purposes of this Agreement.,"1. Norm type: prohibition
2. Subject: Change of Control
3. Object: parties involved in the Agreement
4. Antecedent: Change of Control
5. Consequent: assignment"
31,31,"Upon the termination of this Agreement, Operator shall cooperate in the transition of operations to Owner or a successor operator and upon  Owner's request, will promptly deliver all books and records and other property (including, without limitation, intellectual property) of Owner to  Owner or the successor operator, as applicable.","1. Norm type: commitment
2. Subject: Operator
3. Object: Owner
4. Antecedent: Upon the termination of this Agreement
5. Consequent: Operator shall cooperate in the transition of operations to Owner or a successor operator and promptly deliver all books and records and other property (including, without limitation, intellectual property) of Owner to Owner or the successor operator, as applicable.

2. Norm type: authorization
3. Subject: Owner
4. Antecedent: Upon Owner's request
5. Consequent: Operator will promptly deliver all books and records and other property (including, without limitation, intellectual property) of Owner to Owner or the successor operator, as applicable."
32,32,"If AbbVie terminates this Agreement with respect to a country or other jurisdiction, or in its entirety pursuant to Section 12.3, AbbVie shall have the right for at least [***] and no more than [***], which period shall be determined by Harpoon in its sole discretion, after the effective date of such termination with respect to such country or other jurisdiction to sell or otherwise dispose of all Licensed Compound or Licensed Product then in its inventory and any in-progress inventory, in each case that is intended for sale or disposition in such country or other jurisdiction, as though this Agreement had not terminated with respect to such country or other jurisdiction, and such sale or disposition shall not constitute infringement of Harpoon's or its Affiliates' Patent or other intellectual property or other proprietary rights.","1. Norm type: authorization
2. Subject: AbbVie
3. Object: Harpoon
4. Antecedent: Termination of the Agreement with respect to a country or other jurisdiction, or in its entirety pursuant to Section 12.3
5. Consequent: AbbVie has the right to sell or dispose of Licensed Compound or Licensed Product in its inventory intended for sale or disposition in the terminated country or jurisdiction without infringing on Harpoon's or its Affiliates' Patent or other intellectual property rights."
33,33,"In the event the closing of the purchase does not occur within said ninety (90) day period because Franchisee fails to act diligently in connection therewith,  the purchase price shall be reduced by ten percent (10%).","1. Norm type: commitment
2. Subject: Franchisee
3. Object: not explicitly stated in the sentence
4. Antecedent: closing of the purchase does not occur within said ninety (90) day period because Franchisee fails to act diligently in connection therewith
5. Consequent: the purchase price shall be reduced by ten percent (10%)"
34,34,"Unless this Agreement is terminated by Zogenix under Section 12.2(c), at Zogenix's option, which shall be exercised by written notice to Distributor, to the extent permitted under Applicable Laws, Distributor shall assign or cause to be assigned to Zogenix or its designee (or to the extent not so assignable, Distributor shall take all reasonable actions to make available to Zogenix or its designee the benefits of), at Zogenix's cost, all Regulatory Filings and Regulatory Approvals for the Product in the Field in the Territory.","1. Norm type: commitment
2. Subject: Distributor
3. Object: Zogenix
4. Antecedent: Unless this Agreement is terminated by Zogenix under Section 12.2(c)
5. Consequent: Distributor shall assign or cause to be assigned to Zogenix or its designee (or to the extent not so assignable, Distributor shall take all reasonable actions to make available to Zogenix or its designee the benefits of), at Zogenix's cost, all Regulatory Filings and Regulatory Approvals for the Product in the Field in the Territory."
35,35,"Without limiting the provisions of Section 11, commencing on the delivery of any notice of termination of this Agreement, and continuing through the effective date of termination and for a period of sixty (60) Business Days thereafter (the ""Transition-out Period""), Ehave will, to the extent requested by CHT, provide to CHT (or at CHT's request to CHT's End User) such reasonable cooperation, assistance and services to facilitate the orderly wind down, transition and migration and transfer of the End User Data from Ehave to CHT (the ""Transition-out Services"").","1. Norm type: commitment
2. Subject: Ehave
3. Object: CHT
4. Antecedent: delivery of any notice of termination of the Agreement
5. Consequent: provide reasonable cooperation, assistance, and services to facilitate the orderly wind down, transition, and migration of End User Data from Ehave to CHT. 

2. Norm type: authorization
3. Subject: CHT
4. Antecedent: request for cooperation, assistance, and services from Ehave
5. Consequent: receive such cooperation, assistance, and services from Ehave for the transition-out period."
36,36,"We may terminate your right to provide products and services to a Major Account customer at any time by giving you at least 30 days' prior written notice, and you may terminate your right to provide products and services to a Major Account at any time by giving us at least 30 days' prior written notice.","Norm 1:
1. Norm type: Authorization
2. Subject: We
3. Object: You
4. Antecedent: Giving at least 30 days' prior written notice
5. Consequent: Termination of the right to provide products and services to a Major Account customer

Norm 2:
1. Norm type: Authorization
2. Subject: You
3. Object: We
4. Antecedent: Giving at least 30 days' prior written notice
5. Consequent: Termination of the right to provide products and services to a Major Account"
37,37,"AbbVie may terminate this Agreement in its entirety, or on a country or other jurisdiction -by-country or other jurisdiction basis, for any or no reason, upon ninety (90) days' prior written notice to Harpoon.","1. Norm type: commitment
2. Subject: AbbVie
3. Object: Harpoon
4. Antecedent: AbbVie may terminate this Agreement in its entirety, or on a country or other jurisdiction-by-country or other jurisdiction basis
5. Consequent: for any or no reason, upon ninety (90) days' prior written notice to Harpoon"
38,38,"Notwithstanding anything else in this Agreement, in the event of termination under this Paragraph 12.04 ExxonMobil may terminate any licenses granted to FCE under this Agreement that would otherwise survive termination, taking into account the circumstances surrounding the Change in Control.","Norm 1:
1. Norm type: Authorization
2. Subject: ExxonMobil
3. Object: FCE
4. Antecedent: Termination under Paragraph 12.04
5. Consequent: Termination of any licenses granted to FCE under the Agreement that would otherwise survive termination

Norm 2:
1. Norm type: Power
2. Subject: ExxonMobil
3. Object: FCE
4. Antecedent: Change in Control
5. Consequent: Termination of any licenses granted to FCE under the Agreement that would otherwise survive termination"
39,39,"If AbbVie [***] and does not subsequently exercise the License Option, then AbbVie shall [***].","1. Norm type: commitment
2. Subject: AbbVie
3. Object: License Option
4. Antecedent: AbbVie [***] and does not subsequently exercise the License Option
5. Consequent: AbbVie shall [***]"
40,40,"In the event that this Agreement is terminated by PPI in accordance with Section 16.1 or EKR in accordance with Section 16.3(b), EKR and its Affiliates, sub-distributors and sub-licensees shall be entitled to continue to sell<omitted>existing stocks of the Product in the Territory for so long as PPI deems necessary to ensure that sale of the Product is not disrupted  provided that EKR and its Affiliates shall cease such sale immediately upon notification from PPI and in any event EKR shall not so sell for  a period of longer than three (3) months following the date of termination. Immediately upon notification from PPI, such post termination  sales shall cease.","1. Norm type: authorization
2. Subject: EKR and its Affiliates, sub-distributors, and sub-licensees
3. Object: PPI
4. Antecedent: Agreement termination by PPI in accordance with Section 16.1 or EKR in accordance with Section 16.3(b)
5. Consequent: Entitled to continue selling existing stocks of the Product in the Territory for a specified period and cease sales immediately upon notification from PPI."
41,41,"If RevMed wishes to exercise its one-time Co-Promotion Option, it shall so notify Sanofi in writing at least [***] prior to the anticipated launch of such Product in the Co-Promotion Territory.","1. Norm type: Authorization
2. Subject: RevMed
3. Object: Sanofi
4. Antecedent: RevMed wishes to exercise its one-time Co-Promotion Option
5. Consequent: RevMed shall notify Sanofi in writing at least [***] prior to the anticipated launch of such Product in the Co-Promotion Territory."
