,sent
87,"of the data then in RevMed's Control regarding the relevant SHP1-SHP2 Dual Inhibitor. Sanofi shall notify RevMed in writing (a ""Notice of Interest""), within [***] after Sanofi's receipt of such notice, if Sanofi desires to enter into negotiations with RevMed of the terms under which Sanofi would obtain SHP1-SHP2 Dual Inhibitor License Rights."
88,"Upon the occurrence of any of the following, WGT may      terminate the Term by giving Distributor written notice of such termination      for:<omitted>WGT giving Distributor ninety (90) days' advance written notice of      termination at any time after the expiration of the Initial Term."
89,"If DIALOG is acquired by a third party, DIALOG's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to ENERGOUS."
90,"On any termination of this Agreement under Section 5.l (a), (b), or (c) all outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants"
91,"Bioeq may terminate this Agreement immediately upon written notice to Licensee, if Licensee conducts any clinical development of, markets, sells or distributes any Competitive Product in the Territory, whether directly or indirectly through the intermediary of a Third Party or its Affiliates (Restricted Activities); provided, that in the event that Restricted Activities are being or would be deemed to be conducted by Licensee solely in connection with a Competitor Change of Control, Bioeq may not terminate this Agreement in accordance with this Section 15.2.2 and instead may terminate this Agreement in accordance with Section 15.2.9."
92,"In the event of termination or expiration of this Agreement             pursuant to Section 5.0 above, IBM shall have an option, which             shall expire [*] days after such termination or expiration, to             purchase from MSL, at a reasonable price agreeable to the Parties,             all assets used by MSL to perform the manufacturing and fulfillment             functions<omitted>outlined in Attachment 1: Statement of Work, to the extent owned or             transferable by MSL, and required by IBM to perform such functions."
93,"If a Change in Control occurs with respect to Customer, Metavante agrees to continue to provide Services under this Agreement; provided that (a) Metavante's obligation to provide Services shall be limited to the Entities comprising the Customer prior to such Change in Control and (b) Metavante's obligation to provide Services shall be limited in any and all circumstances to the number of accounts processed in the three (3) -month period prior to such Change in Control occurring, plus twenty-five percent (25%)."
94,"The parties acknowledge and agree that a ""Release Condition"" for purposes of the Escrow Agreement shall be deemed to mean any one or more of the following listed events (in addition to any other event specified as a release condition under the Escrow Agreement):<omitted>(vi) Ehave undergoes a change of control or is a party to a merger or amalgamation;"
95,"Within [***] after receipt of such cessation request, Distributor shall provide Zogenix an estimate of the quantity and shelf life of all Product remaining in Distributor's or its Affiliates' or Sub-distributors' inventory, and Zogenix shall have the right to purchase any such quantities of Product from Distributor at a price mutually agreed by the Parties."
96,"Except as otherwise provided in Subsection 3(b) below, within [*]     calendar days after termination or expiration of the Agreement (or this     Attachment 6, in the event of termination in part) for any reason,     MSL shall return to IBM all MS Software Image(s) master media and all MS     Software Image documentation which has not been placed in a Product package     prior to such termination or expiration, and MSL shall provide written     notice to IBM signed by a representative certifying that MSL has fulfilled     such requirements."
97,"ExxonMobil may terminate this Agreement upon fifteen (15) days written notice, without penalty, payment or prejudice to claims and obligations then accrued, if FCE undergoes a Change in Control."
98,"In the event that MSL owns the tooling and has received a bona fide             third party offer to purchase any or all of the tooling, before MSL             may accept such offer, MSL shall notify IBM in writing, and IBM             shall have [*] Days after such notice to agree to purchase such             tooling on the same terms and conditions as such third party offer."
99,"A Termination Event shall have occurred if:<omitted>(c) Supplier either: (i) merges with another entity, (ii) suffers a transfer involving fifty (50%) percent or more of any class of its voting securities or (iii) transfers all, or substantially all, of its assets;"
